category_id,category_name
1,"Animation,Family"
2,"Action,Thriller"
10,"Music,Drama"
15,"Animation,Family"
17,Sport
18,Short Movies
19,"Adventure,Western"
20,"Sci-Fi,Action"
21,Short Movies
22,"Biography,Short Movies"
23,"Comedy,Drama"
24,"Music,Drama"
25,"News,Politics"
26,Western
27,"Biography,Sci-Fi"
28,"Sci-Fi,Action"
29,"News,Politics"
30,nan
31,"Animation,Family"
32,"Action,Adventure"
33,"Biography,Short Movies"
34,Comedy
35,"Biography,Short Movies"
36,Drama
37,Family
38,Western
39,Horror
40,"Sci-Fi,Fantasy"
41,Thriller
42,Short Movies
43,Short Movies
44,Trailers