record-number,title,year,popularity,comedy,fantasy,romance,horror,action,non-fiction,type
1,Guardians of the Galaxy,2014,8.1,0,1,0,0,1,0,M
2,Prometheus,2012,7,0,1,0,1,1,0,M
3,Split,2016,7.3,0,0,0,1,1,0,M
4,Sing,2016,7.2,1,0,0,0,0,0,M
5,Suicide Squad,2016,6.2,0,1,0,0,1,0,M
6,The Great Wall,2016,6.1,0,1,0,0,1,0,M
7,La La Land,2016,8.3,1,1,0,0,0,1,M
8,Mindhorn,2016,6.4,1,0,0,0,0,0,M
9,The Lost City of Z,2016,7.1,0,0,0,0,1,1,M
10,Passengers,2016,7,0,1,1,0,1,0,M
11,Fantastic Beasts and Where to Find Them,2016,7.5,0,1,0,0,1,0,M
12,Hidden Figures,2016,7.8,0,1,0,0,0,1,M
13,Rogue One,2016,7.9,0,1,0,0,1,0,M
14,Moana,2016,7.7,1,0,0,0,1,0,M
15,Colossal,2016,6.4,1,1,0,0,1,0,M
16,The Secret Life of Pets,2016,6.6,1,0,0,0,1,0,M
17,Hacksaw Ridge,2016,8.2,0,1,0,0,0,1,M
18,Jason Bourne,2016,6.7,0,0,0,0,1,0,M
19,Lion,2016,8.1,0,1,0,0,0,1,M
20,Arrival,2016,8,0,1,0,1,0,0,M
21,Gold,2016,6.7,0,1,0,0,1,0,M
22,Manchester by the Sea,2016,7.9,0,1,0,0,0,0,M
23,Hounds of Love,2016,6.7,0,1,0,1,0,0,M
24,Trolls,2016,6.5,1,0,0,0,1,0,M
25,Independence Day: Resurgence,2016,5.3,0,1,0,0,1,0,M
26,Paris pieds nus,2016,6.8,1,0,0,0,0,0,M
27,Bahubali: The Beginning,2015,8.3,0,1,0,0,1,0,M
28,Dead Awake,2016,4.7,0,0,0,1,1,0,M
29,Bad Moms,2016,6.2,1,0,0,0,0,0,M
30,Assassin's Creed,2016,5.9,0,1,0,0,1,0,M
31,Why Him?,2016,6.3,1,0,0,0,0,0,M
32,Nocturnal Animals,2016,7.5,0,1,0,0,1,0,M
33,X-Men: Apocalypse,2016,7.1,0,1,0,0,1,0,M
34,Deadpool,2016,8,1,0,0,0,1,0,M
35,Resident Evil: The Final Chapter,2016,5.6,0,1,0,1,1,0,M
36,Captain America: Civil War,2016,7.9,0,1,0,0,1,0,M
37,Interstellar,2014,8.6,0,1,0,0,1,0,M
38,Doctor Strange,2016,7.6,0,1,0,0,1,0,M
39,The Magnificent Seven,2016,6.9,0,0,0,0,1,0,M
40,5/25/77,2007,7.1,1,1,0,0,0,0,M
41,Sausage Party,2016,6.3,1,0,0,0,1,0,M
42,Moonlight,2016,7.5,0,1,0,0,0,0,M
43,Don't Fuck in the Woods,2016,2.7,0,0,0,1,0,0,M
44,The Founder,2016,7.2,0,1,0,0,0,1,M
45,Lowriders,2016,6.3,0,1,0,0,0,0,M
46,Pirates of the Caribbean: On Stranger Tides,2011,6.7,0,1,0,0,1,0,M
47,Miss Sloane,2016,7.3,0,1,0,0,1,0,M
48,Fallen,2016,5.6,0,1,0,0,1,0,M
49,Star Trek Beyond,2016,7.1,0,1,0,0,1,0,M
50,The Last Face,2016,3.7,0,1,0,0,0,0,M
51,Star Wars: Episode VII - The Force Awakens,2015,8.1,0,1,0,0,1,0,M
52,Underworld: Blood Wars,2016,5.8,0,1,0,0,1,0,M
53,Mother's Day,2016,5.6,1,1,0,0,0,0,M
54,John Wick,2014,7.2,0,0,0,1,1,0,M
55,The Dark Knight,2008,9,0,1,0,1,1,0,M
56,Silence,2016,7.3,0,1,0,0,1,1,M
57,Don't Breathe,2016,7.2,0,0,0,1,1,0,M
58,Me Before You,2016,7.4,0,1,1,0,0,0,M
59,Their Finest,2016,7,1,1,1,0,0,0,M
60,Sully,2016,7.5,0,1,0,0,0,1,M
61,Batman v Superman: Dawn of Justice,2016,6.7,0,1,0,0,1,0,M
62,The Autopsy of Jane Doe,2016,6.8,0,0,0,1,1,0,M
63,The Girl on the Train,2016,6.5,0,1,0,1,0,0,M
64,Fifty Shades of Grey,2015,4.1,0,1,1,0,1,0,M
65,The Prestige,2006,8.5,0,1,0,1,0,0,M
66,Kingsman: The Secret Service,2014,7.7,1,0,0,0,1,0,M
67,Patriots Day,2016,7.4,0,1,0,0,1,1,M
68,Mad Max: Fury Road,2015,8.1,0,1,0,0,1,0,M
69,Wakefield,2016,7.5,0,1,0,0,0,0,M
70,Deepwater Horizon,2016,7.2,0,1,0,0,1,0,M
71,The Promise,2016,5.9,0,1,0,0,0,1,M
72,Allied,2016,7.1,0,1,1,0,1,0,M
73,A Monster Calls,2016,7.5,0,1,0,0,0,0,M
74,Collateral Beauty,2016,6.8,0,1,1,0,0,0,M
75,Zootopia,2016,8.1,1,0,0,0,1,0,M
76,Pirates of the Caribbean: At World's End,2007,7.1,0,1,0,0,1,0,M
77,The Avengers,2012,8.1,0,1,0,0,1,0,M
78,Inglourious Basterds,2009,8.3,0,1,0,0,1,1,M
79,Pirates of the Caribbean: Dead Man's Chest,2006,7.3,0,1,0,0,1,0,M
80,Ghostbusters,2016,5.3,1,1,0,0,1,0,M
81,Inception,2010,8.8,0,1,0,0,1,0,M
82,Captain Fantastic,2016,7.9,1,1,0,0,0,0,M
83,The Wolf of Wall Street,2013,8.2,1,0,0,1,0,1,M
84,Gone Girl,2014,8.1,0,1,0,1,0,0,M
85,Furious Seven,2015,7.2,0,0,0,1,1,0,M
86,Jurassic World,2015,7,0,1,0,0,1,0,M
87,Live by Night,2016,6.4,0,1,0,1,0,0,M
88,Avatar,2009,7.8,0,1,0,0,1,0,M
89,The Hateful Eight,2015,7.8,0,1,0,1,0,0,M
90,The Accountant,2016,7.4,0,1,0,1,1,0,M
91,Prisoners,2013,8.1,0,1,0,1,0,0,M
92,Warcraft,2016,7,0,1,0,0,1,0,M
93,The Help,2011,8.1,0,1,0,0,0,0,M
94,War Dogs,2016,7.1,1,1,0,1,0,0,M
95,Avengers: Age of Ultron,2015,7.4,0,1,0,0,1,0,M
96,The Nice Guys,2016,7.4,1,0,0,1,1,0,M
97,Kimi no na wa,2016,8.6,1,1,0,0,0,0,M
98,The Void,2016,5.8,0,1,0,1,0,0,M
99,Personal Shopper,2016,6.3,0,1,0,1,1,0,M
100,The Departed,2006,8.5,0,1,0,1,1,0,M
101,Legend,2015,7,0,1,0,1,0,1,M
102,Thor,2011,7,0,1,0,0,1,0,M
103,The Martian,2015,8,0,1,0,0,1,0,M
104,Contratiempo,2016,7.9,0,0,0,1,1,0,M
105,The Man from U.N.C.L.E.,2015,7.3,1,0,0,0,1,0,M
106,Hell or High Water,2016,7.7,0,1,0,1,1,0,M
107,The Comedian,2016,5.4,1,0,0,0,0,0,M
108,The Legend of Tarzan,2016,6.3,0,1,0,0,1,0,M
109,All We Had,2016,5.8,0,1,0,0,0,0,M
110,Ex Machina,2014,7.7,0,1,0,1,0,0,M
111,The Belko Experiment,2016,6.3,0,0,0,1,1,0,M
112,12 Years a Slave,2013,8.1,0,1,0,0,0,1,M
113,The Bad Batch,2016,6.1,0,1,1,0,0,0,M
114,300,2006,7.7,0,1,0,0,1,1,M
115,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,0,1,0,0,1,0,M
116,Office Christmas Party,2016,5.8,1,0,0,0,0,0,M
117,The Neon Demon,2016,6.2,0,0,0,1,1,0,M
118,Dangal,2016,8.8,0,1,0,0,1,1,M
119,10 Cloverfield Lane,2016,7.2,0,1,0,1,0,0,M
120,Finding Dory,2016,7.4,1,0,0,0,1,0,M
121,Miss Peregrine's Home for Peculiar Children,2016,6.7,0,1,0,0,1,0,M
122,Divergent,2014,6.7,0,1,0,1,1,0,M
123,Mike and Dave Need Wedding Dates,2016,6,1,0,1,0,1,0,M
124,Boyka: Undisputed IV,2016,7.4,0,0,0,0,1,0,M
125,The Dark Knight Rises,2012,8.5,0,0,0,0,1,0,M
126,The Jungle Book,2016,7.5,0,1,0,0,1,0,M
127,Transformers: Age of Extinction,2014,5.7,0,1,0,0,1,0,M
128,Nerve,2016,6.6,0,0,0,1,1,0,M
129,Mamma Mia!,2008,6.4,1,0,0,0,0,1,M
130,The Revenant,2015,8,0,1,0,0,1,0,M
131,Fences,2016,7.3,0,1,0,0,0,0,M
132,Into the Woods,2014,6,1,1,0,0,1,0,M
133,The Shallows,2016,6.4,0,1,0,1,1,0,M
134,Whiplash,2014,8.5,0,1,0,0,0,1,M
135,Furious 6,2013,7.1,0,0,0,1,1,0,M
136,The Place Beyond the Pines,2012,7.3,0,1,0,1,1,0,M
137,No Country for Old Men,2007,8.1,0,1,0,1,1,0,M
138,The Great Gatsby,2013,7.3,0,1,1,0,0,0,M
139,Shutter Island,2010,8.1,0,0,0,1,1,0,M
140,Brimstone,2016,7.1,0,0,0,1,1,0,M
141,Star Trek,2009,8,0,1,0,0,1,0,M
142,Diary of a Wimpy Kid,2010,6.2,1,0,0,0,0,0,M
143,The Big Short,2015,7.8,1,1,0,0,0,1,M
144,Room,2015,8.2,0,1,0,0,0,0,M
145,Django Unchained,2012,8.4,0,1,0,0,1,0,M
146,Ah-ga-ssi,2016,8.1,0,1,1,1,0,0,M
147,The Edge of Seventeen,2016,7.4,1,1,0,0,0,0,M
148,Watchmen,2009,7.6,0,1,0,1,1,0,M
149,Superbad,2007,7.6,1,0,0,0,0,0,M
150,Inferno,2016,6.2,0,0,0,1,1,0,M
151,The BFG,2016,6.4,0,1,0,0,1,0,M
152,The Hunger Games,2012,7.2,0,1,0,0,1,0,M
153,White Girl,2016,5.8,0,1,0,0,0,0,M
154,Sicario,2015,7.6,0,1,0,1,1,0,M
155,Twin Peaks: The Missing Pieces,2014,8.1,0,1,0,1,0,0,M
156,Aliens vs Predator - Requiem,2007,4.7,0,1,0,1,1,0,M
157,Pacific Rim,2013,7,0,1,0,0,1,0,M
158,"Crazy, Stupid, Love.",2011,7.4,1,1,1,0,0,0,M
159,Scott Pilgrim vs. the World,2010,7.5,1,1,0,0,1,0,M
160,Hot Fuzz,2007,7.9,1,0,0,1,1,0,M
161,Mine,2016,6,0,0,0,0,1,1,M
162,Free Fire,2016,7,1,0,0,1,1,0,M
163,X-Men: Days of Future Past,2014,8,0,1,0,0,1,0,M
164,Jack Reacher: Never Go Back,2016,6.1,0,0,0,1,1,0,M
165,Casino Royale,2006,8,0,0,0,0,1,0,M
166,Twilight,2008,5.2,0,1,1,0,0,0,M
167,Now You See Me 2,2016,6.5,1,0,0,0,1,0,M
168,Woman in Gold,2015,7.3,0,1,0,0,0,1,M
169,13 Hours,2016,7.3,0,1,0,0,1,1,M
170,Spectre,2015,6.8,0,0,0,0,1,0,M
171,Nightcrawler,2014,7.9,0,1,0,1,1,0,M
172,Kubo and the Two Strings,2016,7.9,1,0,0,0,1,0,M
173,Beyond the Gates,2016,5.2,0,0,0,1,1,0,M
174,Her,2013,8,0,1,1,0,0,0,M
175,Frozen,2013,7.5,1,0,0,0,1,0,M
176,Tomorrowland,2015,6.5,0,0,0,0,1,0,M
177,Dawn of the Planet of the Apes,2014,7.6,0,1,0,0,1,0,M
178,Tropic Thunder,2008,7,1,0,0,0,1,0,M
179,The Conjuring 2,2016,7.4,0,0,0,1,1,0,M
180,Ant-Man,2015,7.3,1,0,0,0,1,0,M
181,Bridget Jones's Baby,2016,6.7,1,0,1,0,0,0,M
182,The VVitch: A New-England Folktale,2015,6.8,0,0,0,1,0,0,M
183,Cinderella,2015,7,0,1,0,0,0,0,M
184,Realive,2016,5.9,0,1,0,0,0,0,M
185,Forushande,2016,8,0,1,0,0,1,0,M
186,Love,2015,6,0,1,1,0,0,0,M
187,Billy Lynn's Long Halftime Walk,2016,6.3,0,1,0,0,0,1,M
188,Crimson Peak,2015,6.6,0,1,0,1,0,0,M
189,Drive,2011,7.8,0,1,0,1,0,0,M
190,Trainwreck,2015,6.3,1,1,1,0,0,0,M
191,The Light Between Oceans,2016,7.2,0,1,1,0,0,0,M
192,Below Her Mouth,2016,5.6,0,1,0,0,0,0,M
193,Spotlight,2015,8.1,0,1,0,1,0,1,M
194,Morgan,2016,5.8,0,1,0,1,1,0,M
195,Warrior,2011,8.2,0,1,0,0,1,1,M
196,Captain America: The First Avenger,2011,6.9,0,1,0,0,1,0,M
197,Hacker,2016,6.3,0,1,0,1,1,0,M
198,Into the Wild,2007,8.1,0,1,0,0,1,1,M
199,The Imitation Game,2014,8.1,0,1,0,0,1,1,M
200,Central Intelligence,2016,6.3,1,0,0,1,1,0,M
201,Edge of Tomorrow,2014,7.9,0,1,0,0,1,0,M
202,A Cure for Wellness,2016,6.5,0,1,0,1,0,0,M
203,Snowden,2016,7.3,0,1,0,0,1,1,M
204,Iron Man,2008,7.9,0,1,0,0,1,0,M
205,Allegiant,2016,5.7,0,0,0,1,1,0,M
206,X: First Class,2011,7.8,0,1,0,0,1,0,M
207,Raw (II),2016,7.5,0,1,0,1,0,0,M
208,Paterson,2016,7.5,1,1,1,0,0,0,M
209,Bridesmaids,2011,6.8,1,0,1,0,0,0,M
210,The Girl with All the Gifts,2016,6.7,0,1,0,1,1,0,M
211,San Andreas,2015,6.1,0,1,0,0,1,0,M
212,Spring Breakers,2012,5.3,0,1,0,0,0,0,M
213,Transformers,2007,7.1,0,1,0,0,1,0,M
214,Old Boy,2013,5.8,0,1,0,1,1,0,M
215,Thor: The Dark World,2013,7,0,1,0,0,1,0,M
216,Gods of Egypt,2016,5.5,0,1,0,0,1,0,M
217,Captain America: The Winter Soldier,2014,7.8,0,1,0,0,1,0,M
218,Monster Trucks,2016,5.7,1,0,0,0,1,0,M
219,A Dark Song,2016,6.1,0,1,0,1,0,0,M
220,Kick-Ass,2010,7.7,1,0,0,0,1,0,M
221,Hardcore Henry,2015,6.7,0,1,0,0,1,0,M
222,Cars,2006,7.1,1,0,0,0,1,0,M
223,It Follows,2014,6.9,0,0,0,1,0,0,M
224,The Girl with the Dragon Tattoo,2011,7.8,0,1,0,1,0,0,M
225,We're the Millers,2013,7,1,0,0,1,0,0,M
226,American Honey,2016,7,0,1,0,0,0,0,M
227,The Lobster,2015,7.1,1,1,1,0,0,0,M
228,Predators,2010,6.4,0,1,0,0,1,0,M
229,Maleficent,2014,7,0,0,0,0,1,0,M
230,Rupture,2016,4.8,0,1,0,1,1,0,M
231,Pan's Labyrinth,2006,8.2,0,1,0,0,0,1,M
232,A Kind of Murder,2016,5.2,0,1,0,1,1,0,M
233,Apocalypto,2006,7.8,0,1,0,0,1,0,M
234,Mission: Impossible - Rogue Nation,2015,7.4,0,0,0,0,1,0,M
235,The Huntsman: Winter's War,2016,6.1,0,1,0,0,1,0,M
236,The Perks of Being a Wallflower,2012,8,0,1,1,0,0,0,M
237,Jackie,2016,6.8,0,1,0,0,0,1,M
238,The Disappointments Room,2016,3.9,0,1,0,1,1,0,M
239,The Grand Budapest Hotel,2014,8.1,1,1,0,0,1,0,M
240,The Host,2013,5.9,0,0,1,0,1,0,M
241,Fury,2014,7.6,0,1,0,0,1,1,M
242,Inside Out,2015,8.2,1,0,0,0,1,0,M
243,Rock Dog,2016,5.8,1,0,0,0,1,0,M
244,Terminator Genisys,2015,6.5,0,1,0,0,1,0,M
245,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,0,1,0,0,1,0,M
246,Les MisÃƒÂ©rables,2012,7.6,0,1,1,0,0,1,M
247,Children of Men,2006,7.9,0,1,0,0,1,0,M
248,20th Century Women,2016,7.4,1,1,0,0,0,0,M
249,Spy,2015,7.1,1,0,0,1,1,0,M
250,The Intouchables,2011,8.6,1,1,0,0,0,1,M
251,Bonjour Anne,2016,4.9,1,1,1,0,0,0,M
252,Kynodontas,2009,7.3,0,1,0,0,1,0,M
253,Straight Outta Compton,2015,7.9,0,1,0,0,0,1,M
254,The Amazing Spider-Man 2,2014,6.7,0,1,0,0,1,0,M
255,The Conjuring,2013,7.5,0,0,0,1,1,0,M
256,The Hangover,2009,7.8,1,0,0,0,0,0,M
257,Battleship,2012,5.8,0,1,0,0,1,0,M
258,Rise of the Planet of the Apes,2011,7.6,0,1,0,0,1,0,M
259,Lights Out,2016,6.4,0,0,0,1,0,0,M
260,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,2016,7.1,0,1,0,0,1,0,M
261,Birdman or (The Unexpected Virtue of Ignorance),2014,7.8,1,1,1,0,0,0,M
262,Black Swan,2010,8,0,1,0,0,1,0,M
263,Dear White People,2014,6.2,1,1,0,0,0,0,M
264,Nymphomaniac: Vol. I,2013,7,0,1,0,0,0,0,M
265,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6,1,0,0,0,1,0,M
266,Knock Knock,2015,4.9,0,1,0,1,1,0,M
267,Dirty Grandpa,2016,6,1,0,0,0,0,0,M
268,Cloud Atlas,2012,7.5,0,1,0,0,0,0,M
269,X-Men Origins: Wolverine,2009,6.7,0,1,0,0,1,0,M
270,Satanic,2016,3.7,0,0,0,1,0,0,M
271,Skyfall,2012,7.8,0,0,0,0,1,0,M
272,The Hobbit: An Unexpected Journey,2012,7.9,0,1,0,0,1,0,M
273,21 Jump Street,2012,7.2,1,0,0,1,1,0,M
274,Sing Street,2016,8,1,1,0,0,0,1,M
275,Ballerina,2016,6.8,1,0,0,0,1,0,M
276,Oblivion,2013,7,0,0,0,1,1,0,M
277,22 Jump Street,2014,7.1,1,0,0,1,1,0,M
278,Zodiac,2007,7.7,0,1,0,1,0,1,M
279,Everybody Wants Some!!,2016,7,1,0,0,0,0,0,M
280,Iron Man Three,2013,7.2,0,1,0,0,1,0,M
281,Now You See Me,2013,7.3,0,0,0,1,1,0,M
282,Sherlock Holmes,2009,7.6,0,0,0,1,1,0,M
283,Death Proof,2007,7.1,0,0,0,0,1,0,M
284,The Danish Girl,2015,7,0,1,1,0,0,1,M
285,Hercules,2014,6,0,0,0,0,1,0,M
286,Sucker Punch,2011,6.1,0,1,0,0,1,0,M
287,Keeping Up with the Joneses,2016,5.8,1,0,0,0,1,0,M
288,Jupiter Ascending,2015,5.3,0,1,0,0,1,0,M
289,Masterminds,2016,5.8,1,0,0,1,1,0,M
290,Iris,2016,6.1,0,0,0,0,1,0,M
291,Busanhaeng,2016,7.5,0,1,0,1,1,0,M
292,Pitch Perfect,2012,7.2,1,0,1,0,0,1,M
293,Neighbors 2: Sorority Rising,2016,5.7,1,0,0,0,0,0,M
294,The Exception,2016,7.7,0,1,0,0,0,0,M
295,Man of Steel,2013,7.1,0,1,0,0,1,0,M
296,The Choice,2016,6.6,0,1,1,0,0,0,M
297,Ice Age: Collision Course,2016,5.7,1,0,0,0,1,0,M
298,The Devil Wears Prada,2006,6.8,1,1,0,0,0,0,M
299,The Infiltrator,2016,7.1,0,1,0,1,0,1,M
300,There Will Be Blood,2007,8.1,0,1,0,0,0,1,M
301,The Equalizer,2014,7.2,0,0,0,1,1,0,M
302,Lone Survivor,2013,7.5,0,1,0,0,1,1,M
303,The Cabin in the Woods,2012,7,0,0,0,1,0,0,M
304,The House Bunny,2008,5.5,1,0,1,0,0,0,M
305,She's Out of My League,2010,6.4,1,0,1,0,0,0,M
306,Inherent Vice,2014,6.7,1,1,0,1,0,0,M
307,Alice Through the Looking Glass,2016,6.2,0,1,0,0,1,0,M
308,Vincent N Roxxy,2016,5.5,0,1,0,1,1,0,M
309,The Fast and the Furious: Tokyo Drift,2006,6,0,0,0,1,1,0,M
310,How to Be Single,2016,6.1,1,0,1,0,0,0,M
311,The Blind Side,2009,7.7,0,1,0,0,0,1,M
312,La vie d'AdÃƒÂ¨le,2013,7.8,0,1,1,0,0,0,M
313,The Babadook,2014,6.8,0,1,0,1,0,0,M
314,The Hobbit: The Battle of the Five Armies,2014,7.4,0,1,0,0,1,0,M
315,Harry Potter and the Order of the Phoenix,2007,7.5,0,1,0,0,1,0,M
316,Snowpiercer,2013,7,0,1,0,0,1,0,M
317,The 5th Wave,2016,5.2,0,1,0,0,1,0,M
318,The Stakelander,2016,5.3,0,0,0,1,1,0,M
319,The Visit,2015,6.2,1,0,0,1,1,0,M
320,Fast Five,2011,7.3,0,0,0,1,1,0,M
321,Step Up,2006,6.5,0,1,0,1,0,1,M
322,Lovesong,2016,6.4,0,1,0,0,0,0,M
323,RocknRolla,2008,7.3,0,0,0,1,1,0,M
324,In Time,2011,6.7,0,1,0,0,1,0,M
325,The Social Network,2010,7.7,0,1,0,0,0,1,M
326,The Last Witch Hunter,2015,6,0,1,0,0,1,0,M
327,Victor Frankenstein,2015,6,0,1,0,1,0,0,M
